id;exam_id;name;date;exam_type;description
1;90766;International systemic Inverse;2022-04-15;89828;Bacon Steel Analyst
2;73090;Pants;2022-04-15;4823;connect Oregon
3;18724;pink mobile;2022-04-15;44362;Auto
4;91903;Agent reboot;2022-04-15;56988;Cliff capacitor
5;4674;Producer;2022-04-15;55958;Account yellow
6;62604;bus intranet;2022-04-15;55562;Pound
7;10488;Rubber Corner;2022-04-15;15699;communities plug-and-play
8;52710;payment Granite Generic;2022-04-14;91342;Directives Squares
9;44145;end-to-end Pants hack;2022-04-15;89817;Awesome approach
10;77334;hacking;2022-04-15;56028;multimedia evolve
